Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SLSR,Solaris Resources Inc. Common Shares,$2.46,-0.09,-3.529%,371043372.00,,2024,27683,,
SOAR,Volato Group Inc. Class A Common Stock,$0.59,0.0005,0.085%,17262271.00,,2022,3862111,Consumer Discretionary,Transportation Services
SSY,SunLink Health Systems Inc. Common Stock,$0.7862,-0.0809,-9.33%,5535322.00,United States,1996,2050,Health Care,Hospital/Nursing Management
STRW,Strawberry Fields REIT Inc. Common Stock,$10.43,0.12,1.164%,67128815.00,,2023,16463,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$1.99,-0.07,-3.398%,164460054.00,United States,,147023,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$3.72,-0.01,-0.268%,660740292.00,Canada,,1204920,Basic Materials,Precious Metals
SVT,Servotronics Inc. Common Stock,$11.07,-0.0093,-0.084%,28213810.00,United States,1970,2556,Consumer Discretionary,Industrial Machinery/Components
SYNX,Silynxcom Ltd. Ordinary Shares,$3.55,0.41,13.057%,18637500.00,,2024,497157,Consumer Staples,Consumer Electronics/Appliances
TELL,Tellurian Inc. Common Stock,$0.95,0.008,0.849%,794415393.00,United States,,107961041,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$23.70,-0.50,-2.066%,19818573477.00,United States,,63892,Energy,Oil & Gas Production
TGB,Taseko Mines Ltd. Common Stock,$2.09,-0.14,-6.278%,609231370.00,Canada,,3177032,Basic Materials,Precious Metals
